"";"x"
"3501";"ENSMUSG00000022126"
"3502";"ENSMUSG00000022129"
"3503";"ENSMUSG00000022130"
"3504";"ENSMUSG00000022131"
"3505";"ENSMUSG00000022132"
"3506";"ENSMUSG00000022136"
"3507";"ENSMUSG00000022139"
"3508";"ENSMUSG00000022141"
"3509";"ENSMUSG00000022142"
"3510";"ENSMUSG00000022144"
"3511";"ENSMUSG00000022146"
"3512";"ENSMUSG00000022148"
"3513";"ENSMUSG00000022149"
"3514";"ENSMUSG00000022150"
"3515";"ENSMUSG00000022151"
"3516";"ENSMUSG00000022155"
"3517";"ENSMUSG00000022156"
"3518";"ENSMUSG00000022157"
"3519";"ENSMUSG00000022159"
"3520";"ENSMUSG00000022160"
"3521";"ENSMUSG00000022174"
"3522";"ENSMUSG00000022175"
"3523";"ENSMUSG00000022176"
"3524";"ENSMUSG00000022177"
"3525";"ENSMUSG00000022178"
"3526";"ENSMUSG00000022179"
"3527";"ENSMUSG00000022180"
"3528";"ENSMUSG00000022181"
"3529";"ENSMUSG00000022184"
"3530";"ENSMUSG00000022185"
"3531";"ENSMUSG00000022186"
"3532";"ENSMUSG00000022187"
"3533";"ENSMUSG00000022191"
"3534";"ENSMUSG00000022193"
"3535";"ENSMUSG00000022194"
"3536";"ENSMUSG00000022195"
"3537";"ENSMUSG00000022197"
"3538";"ENSMUSG00000022199"
"3539";"ENSMUSG00000022200"
"3540";"ENSMUSG00000022201"
"3541";"ENSMUSG00000022203"
"3542";"ENSMUSG00000022204"
"3543";"ENSMUSG00000022205"
"3544";"ENSMUSG00000022206"
"3545";"ENSMUSG00000022208"
"3546";"ENSMUSG00000022209"
"3547";"ENSMUSG00000022210"
"3548";"ENSMUSG00000022211"
"3549";"ENSMUSG00000022212"
"3550";"ENSMUSG00000022214"
"3551";"ENSMUSG00000022215"
"3552";"ENSMUSG00000022216"
"3553";"ENSMUSG00000022217"
"3554";"ENSMUSG00000022218"
"3555";"ENSMUSG00000022219"
"3556";"ENSMUSG00000022220"
"3557";"ENSMUSG00000022221"
"3558";"ENSMUSG00000022223"
"3559";"ENSMUSG00000022225"
"3560";"ENSMUSG00000022226"
"3561";"ENSMUSG00000022227"
"3562";"ENSMUSG00000022228"
"3563";"ENSMUSG00000022229"
"3564";"ENSMUSG00000022231"
"3565";"ENSMUSG00000022234"
"3566";"ENSMUSG00000022235"
"3567";"ENSMUSG00000022236"
"3568";"ENSMUSG00000022237"
"3569";"ENSMUSG00000022240"
"3570";"ENSMUSG00000022241"
"3571";"ENSMUSG00000022243"
"3572";"ENSMUSG00000022244"
"3573";"ENSMUSG00000022245"
"3574";"ENSMUSG00000022246"
"3575";"ENSMUSG00000022247"
"3576";"ENSMUSG00000022248"
"3577";"ENSMUSG00000022249"
"3578";"ENSMUSG00000022253"
"3579";"ENSMUSG00000022255"
"3580";"ENSMUSG00000022257"
"3581";"ENSMUSG00000022261"
"3582";"ENSMUSG00000022262"
"3583";"ENSMUSG00000022263"
"3584";"ENSMUSG00000022265"
"3585";"ENSMUSG00000022269"
"3586";"ENSMUSG00000022270"
"3587";"ENSMUSG00000022272"
"3588";"ENSMUSG00000022280"
"3589";"ENSMUSG00000022283"
"3590";"ENSMUSG00000022285"
"3591";"ENSMUSG00000022286"
"3592";"ENSMUSG00000022288"
"3593";"ENSMUSG00000022292"
"3594";"ENSMUSG00000022295"
"3595";"ENSMUSG00000022296"
"3596";"ENSMUSG00000022297"
"3597";"ENSMUSG00000022299"
"3598";"ENSMUSG00000022300"
"3599";"ENSMUSG00000022303"
"3600";"ENSMUSG00000022304"
"3601";"ENSMUSG00000022305"
"3602";"ENSMUSG00000022306"
"3603";"ENSMUSG00000022307"
"3604";"ENSMUSG00000022309"
"3605";"ENSMUSG00000022311"
"3606";"ENSMUSG00000022312"
"3607";"ENSMUSG00000022313"
"3608";"ENSMUSG00000022314"
"3609";"ENSMUSG00000022315"
"3610";"ENSMUSG00000022321"
"3611";"ENSMUSG00000022322"
"3612";"ENSMUSG00000022323"
"3613";"ENSMUSG00000022324"
"3614";"ENSMUSG00000022325"
"3615";"ENSMUSG00000022329"
"3616";"ENSMUSG00000022330"
"3617";"ENSMUSG00000022332"
"3618";"ENSMUSG00000022335"
"3619";"ENSMUSG00000022336"
"3620";"ENSMUSG00000022337"
"3621";"ENSMUSG00000022338"
"3622";"ENSMUSG00000022339"
"3623";"ENSMUSG00000022340"
"3624";"ENSMUSG00000022342"
"3625";"ENSMUSG00000022346"
"3626";"ENSMUSG00000022347"
"3627";"ENSMUSG00000022350"
"3628";"ENSMUSG00000022351"
"3629";"ENSMUSG00000022353"
"3630";"ENSMUSG00000022354"
"3631";"ENSMUSG00000022357"
"3632";"ENSMUSG00000022358"
"3633";"ENSMUSG00000022359"
"3634";"ENSMUSG00000022360"
"3635";"ENSMUSG00000022361"
"3636";"ENSMUSG00000022362"
"3637";"ENSMUSG00000022364"
"3638";"ENSMUSG00000022365"
"3639";"ENSMUSG00000022366"
"3640";"ENSMUSG00000022367"
"3641";"ENSMUSG00000022369"
"3642";"ENSMUSG00000022370"
"3643";"ENSMUSG00000022371"
"3644";"ENSMUSG00000022372"
"3645";"ENSMUSG00000022375"
"3646";"ENSMUSG00000022376"
"3647";"ENSMUSG00000022377"
"3648";"ENSMUSG00000022378"
"3649";"ENSMUSG00000022382"
"3650";"ENSMUSG00000022383"
"3651";"ENSMUSG00000022385"
"3652";"ENSMUSG00000022386"
"3653";"ENSMUSG00000022387"
"3654";"ENSMUSG00000022388"
"3655";"ENSMUSG00000022389"
"3656";"ENSMUSG00000022390"
"3657";"ENSMUSG00000022391"
"3658";"ENSMUSG00000022394"
"3659";"ENSMUSG00000022400"
"3660";"ENSMUSG00000022401"
"3661";"ENSMUSG00000022403"
"3662";"ENSMUSG00000022404"
"3663";"ENSMUSG00000022407"
"3664";"ENSMUSG00000022408"
"3665";"ENSMUSG00000022412"
"3666";"ENSMUSG00000022414"
"3667";"ENSMUSG00000022415"
"3668";"ENSMUSG00000022416"
"3669";"ENSMUSG00000022419"
"3670";"ENSMUSG00000022420"
"3671";"ENSMUSG00000022421"
"3672";"ENSMUSG00000022422"
"3673";"ENSMUSG00000022425"
"3674";"ENSMUSG00000022426"
"3675";"ENSMUSG00000022427"
"3676";"ENSMUSG00000022428"
"3677";"ENSMUSG00000022429"
"3678";"ENSMUSG00000022431"
"3679";"ENSMUSG00000022432"
"3680";"ENSMUSG00000022433"
"3681";"ENSMUSG00000022434"
"3682";"ENSMUSG00000022435"
"3683";"ENSMUSG00000022436"
"3684";"ENSMUSG00000022437"
"3685";"ENSMUSG00000022438"
"3686";"ENSMUSG00000022439"
"3687";"ENSMUSG00000022440"
"3688";"ENSMUSG00000022441"
"3689";"ENSMUSG00000022442"
"3690";"ENSMUSG00000022443"
"3691";"ENSMUSG00000022445"
"3692";"ENSMUSG00000022449"
"3693";"ENSMUSG00000022450"
"3694";"ENSMUSG00000022451"
"3695";"ENSMUSG00000022452"
"3696";"ENSMUSG00000022453"
"3697";"ENSMUSG00000022454"
"3698";"ENSMUSG00000022455"
"3699";"ENSMUSG00000022456"
"3700";"ENSMUSG00000022462"
"3701";"ENSMUSG00000022463"
"3702";"ENSMUSG00000022464"
"3703";"ENSMUSG00000022466"
"3704";"ENSMUSG00000022468"
"3705";"ENSMUSG00000022469"
"3706";"ENSMUSG00000022471"
"3707";"ENSMUSG00000022472"
"3708";"ENSMUSG00000022474"
"3709";"ENSMUSG00000022475"
"3710";"ENSMUSG00000022476"
"3711";"ENSMUSG00000022477"
"3712";"ENSMUSG00000022479"
"3713";"ENSMUSG00000022483"
"3714";"ENSMUSG00000022484"
"3715";"ENSMUSG00000022485"
"3716";"ENSMUSG00000022487"
"3717";"ENSMUSG00000022488"
"3718";"ENSMUSG00000022489"
"3719";"ENSMUSG00000022490"
"3720";"ENSMUSG00000022491"
"3721";"ENSMUSG00000022494"
"3722";"ENSMUSG00000022496"
"3723";"ENSMUSG00000022498"
"3724";"ENSMUSG00000022500"
"3725";"ENSMUSG00000022501"
"3726";"ENSMUSG00000022503"
"3727";"ENSMUSG00000022504"
"3728";"ENSMUSG00000022505"
"3729";"ENSMUSG00000022507"
"3730";"ENSMUSG00000022508"
"3731";"ENSMUSG00000022510"
"3732";"ENSMUSG00000022512"
"3733";"ENSMUSG00000022514"
"3734";"ENSMUSG00000022515"
"3735";"ENSMUSG00000022516"
"3736";"ENSMUSG00000022517"
"3737";"ENSMUSG00000022518"
"3738";"ENSMUSG00000022519"
"3739";"ENSMUSG00000022521"
"3740";"ENSMUSG00000022523"
"3741";"ENSMUSG00000022525"
"3742";"ENSMUSG00000022526"
"3743";"ENSMUSG00000022528"
"3744";"ENSMUSG00000022529"
"3745";"ENSMUSG00000022533"
"3746";"ENSMUSG00000022534"
"3747";"ENSMUSG00000022536"
"3748";"ENSMUSG00000022537"
"3749";"ENSMUSG00000022538"
"3750";"ENSMUSG00000022540"
"3751";"ENSMUSG00000022542"
"3752";"ENSMUSG00000022543"
"3753";"ENSMUSG00000022544"
"3754";"ENSMUSG00000022545"
"3755";"ENSMUSG00000022546"
"3756";"ENSMUSG00000022548"
"3757";"ENSMUSG00000022550"
"3758";"ENSMUSG00000022551"
"3759";"ENSMUSG00000022552"
"3760";"ENSMUSG00000022553"
"3761";"ENSMUSG00000022554"
"3762";"ENSMUSG00000022555"
"3763";"ENSMUSG00000022556"
"3764";"ENSMUSG00000022557"
"3765";"ENSMUSG00000022558"
"3766";"ENSMUSG00000022559"
"3767";"ENSMUSG00000022560"
"3768";"ENSMUSG00000022561"
"3769";"ENSMUSG00000022562"
"3770";"ENSMUSG00000022564"
"3771";"ENSMUSG00000022565"
"3772";"ENSMUSG00000022568"
"3773";"ENSMUSG00000022570"
"3774";"ENSMUSG00000022571"
"3775";"ENSMUSG00000022574"
"3776";"ENSMUSG00000022575"
"3777";"ENSMUSG00000022577"
"3778";"ENSMUSG00000022579"
"3779";"ENSMUSG00000022580"
"3780";"ENSMUSG00000022582"
"3781";"ENSMUSG00000022583"
"3782";"ENSMUSG00000022584"
"3783";"ENSMUSG00000022586"
"3784";"ENSMUSG00000022587"
"3785";"ENSMUSG00000022589"
"3786";"ENSMUSG00000022591"
"3787";"ENSMUSG00000022594"
"3788";"ENSMUSG00000022595"
"3789";"ENSMUSG00000022596"
"3790";"ENSMUSG00000022598"
"3791";"ENSMUSG00000022601"
"3792";"ENSMUSG00000022602"
"3793";"ENSMUSG00000022603"
"3794";"ENSMUSG00000022604"
"3795";"ENSMUSG00000022607"
"3796";"ENSMUSG00000022610"
"3797";"ENSMUSG00000022613"
"3798";"ENSMUSG00000022614"
"3799";"ENSMUSG00000022615"
"3800";"ENSMUSG00000022617"
"3801";"ENSMUSG00000022619"
"3802";"ENSMUSG00000022620"
"3803";"ENSMUSG00000022621"
"3804";"ENSMUSG00000022622"
"3805";"ENSMUSG00000022623"
"3806";"ENSMUSG00000022629"
"3807";"ENSMUSG00000022634"
"3808";"ENSMUSG00000022635"
"3809";"ENSMUSG00000022636"
"3810";"ENSMUSG00000022637"
"3811";"ENSMUSG00000022639"
"3812";"ENSMUSG00000022641"
"3813";"ENSMUSG00000022650"
"3814";"ENSMUSG00000022651"
"3815";"ENSMUSG00000022652"
"3816";"ENSMUSG00000022656"
"3817";"ENSMUSG00000022657"
"3818";"ENSMUSG00000022658"
"3819";"ENSMUSG00000022659"
"3820";"ENSMUSG00000022661"
"3821";"ENSMUSG00000022663"
"3822";"ENSMUSG00000022664"
"3823";"ENSMUSG00000022665"
"3824";"ENSMUSG00000022667"
"3825";"ENSMUSG00000022668"
"3826";"ENSMUSG00000022671"
"3827";"ENSMUSG00000022672"
"3828";"ENSMUSG00000022673"
"3829";"ENSMUSG00000022674"
"3830";"ENSMUSG00000022676"
"3831";"ENSMUSG00000022677"
"3832";"ENSMUSG00000022678"
"3833";"ENSMUSG00000022679"
"3834";"ENSMUSG00000022680"
"3835";"ENSMUSG00000022681"
"3836";"ENSMUSG00000022682"
"3837";"ENSMUSG00000022683"
"3838";"ENSMUSG00000022684"
"3839";"ENSMUSG00000022685"
"3840";"ENSMUSG00000022686"
"3841";"ENSMUSG00000022687"
"3842";"ENSMUSG00000022696"
"3843";"ENSMUSG00000022698"
"3844";"ENSMUSG00000022701"
"3845";"ENSMUSG00000022702"
"3846";"ENSMUSG00000022704"
"3847";"ENSMUSG00000022705"
"3848";"ENSMUSG00000022706"
"3849";"ENSMUSG00000022707"
"3850";"ENSMUSG00000022708"
"3851";"ENSMUSG00000022710"
"3852";"ENSMUSG00000022711"
"3853";"ENSMUSG00000022715"
"3854";"ENSMUSG00000022718"
"3855";"ENSMUSG00000022721"
"3856";"ENSMUSG00000022722"
"3857";"ENSMUSG00000022723"
"3858";"ENSMUSG00000022724"
"3859";"ENSMUSG00000022738"
"3860";"ENSMUSG00000022742"
"3861";"ENSMUSG00000022744"
"3862";"ENSMUSG00000022747"
"3863";"ENSMUSG00000022748"
"3864";"ENSMUSG00000022749"
"3865";"ENSMUSG00000022750"
"3866";"ENSMUSG00000022751"
"3867";"ENSMUSG00000022752"
"3868";"ENSMUSG00000022753"
"3869";"ENSMUSG00000022754"
"3870";"ENSMUSG00000022755"
"3871";"ENSMUSG00000022756"
"3872";"ENSMUSG00000022757"
"3873";"ENSMUSG00000022758"
"3874";"ENSMUSG00000022759"
"3875";"ENSMUSG00000022760"
"3876";"ENSMUSG00000022761"
"3877";"ENSMUSG00000022762"
"3878";"ENSMUSG00000022763"
"3879";"ENSMUSG00000022765"
"3880";"ENSMUSG00000022766"
"3881";"ENSMUSG00000022768"
"3882";"ENSMUSG00000022769"
"3883";"ENSMUSG00000022770"
"3884";"ENSMUSG00000022771"
"3885";"ENSMUSG00000022772"
"3886";"ENSMUSG00000022773"
"3887";"ENSMUSG00000022774"
"3888";"ENSMUSG00000022779"
"3889";"ENSMUSG00000022780"
"3890";"ENSMUSG00000022781"
"3891";"ENSMUSG00000022783"
"3892";"ENSMUSG00000022787"
"3893";"ENSMUSG00000022788"
"3894";"ENSMUSG00000022789"
"3895";"ENSMUSG00000022790"
"3896";"ENSMUSG00000022791"
"3897";"ENSMUSG00000022792"
"3898";"ENSMUSG00000022793"
"3899";"ENSMUSG00000022797"
"3900";"ENSMUSG00000022798"
"3901";"ENSMUSG00000022799"
"3902";"ENSMUSG00000022800"
"3903";"ENSMUSG00000022801"
"3904";"ENSMUSG00000022802"
"3905";"ENSMUSG00000022803"
"3906";"ENSMUSG00000022805"
"3907";"ENSMUSG00000022807"
"3908";"ENSMUSG00000022808"
"3909";"ENSMUSG00000022809"
"3910";"ENSMUSG00000022811"
"3911";"ENSMUSG00000022812"
"3912";"ENSMUSG00000022814"
"3913";"ENSMUSG00000022816"
"3914";"ENSMUSG00000022817"
"3915";"ENSMUSG00000022818"
"3916";"ENSMUSG00000022820"
"3917";"ENSMUSG00000022821"
"3918";"ENSMUSG00000022822"
"3919";"ENSMUSG00000022824"
"3920";"ENSMUSG00000022827"
"3921";"ENSMUSG00000022828"
"3922";"ENSMUSG00000022829"
"3923";"ENSMUSG00000022831"
"3924";"ENSMUSG00000022832"
"3925";"ENSMUSG00000022833"
"3926";"ENSMUSG00000022836"
"3927";"ENSMUSG00000022837"
"3928";"ENSMUSG00000022838"
"3929";"ENSMUSG00000022840"
"3930";"ENSMUSG00000022841"
"3931";"ENSMUSG00000022842"
"3932";"ENSMUSG00000022843"
"3933";"ENSMUSG00000022844"
"3934";"ENSMUSG00000022847"
"3935";"ENSMUSG00000022848"
"3936";"ENSMUSG00000022849"
"3937";"ENSMUSG00000022853"
"3938";"ENSMUSG00000022855"
"3939";"ENSMUSG00000022856"
"3940";"ENSMUSG00000022857"
"3941";"ENSMUSG00000022858"
"3942";"ENSMUSG00000022860"
"3943";"ENSMUSG00000022861"
"3944";"ENSMUSG00000022863"
"3945";"ENSMUSG00000022864"
"3946";"ENSMUSG00000022865"
"3947";"ENSMUSG00000022867"
"3948";"ENSMUSG00000022868"
"3949";"ENSMUSG00000022871"
"3950";"ENSMUSG00000022875"
"3951";"ENSMUSG00000022876"
"3952";"ENSMUSG00000022877"
"3953";"ENSMUSG00000022878"
"3954";"ENSMUSG00000022881"
"3955";"ENSMUSG00000022883"
"3956";"ENSMUSG00000022884"
"3957";"ENSMUSG00000022885"
"3958";"ENSMUSG00000022886"
"3959";"ENSMUSG00000022887"
"3960";"ENSMUSG00000022889"
"3961";"ENSMUSG00000022890"
"3962";"ENSMUSG00000022892"
"3963";"ENSMUSG00000022893"
"3964";"ENSMUSG00000022894"
"3965";"ENSMUSG00000022895"
"3966";"ENSMUSG00000022897"
"3967";"ENSMUSG00000022898"
"3968";"ENSMUSG00000022899"
"3969";"ENSMUSG00000022900"
"3970";"ENSMUSG00000022901"
"3971";"ENSMUSG00000022902"
"3972";"ENSMUSG00000022905"
"3973";"ENSMUSG00000022906"
"3974";"ENSMUSG00000022911"
"3975";"ENSMUSG00000022912"
"3976";"ENSMUSG00000022913"
"3977";"ENSMUSG00000022914"
"3978";"ENSMUSG00000022915"
"3979";"ENSMUSG00000022931"
"3980";"ENSMUSG00000022935"
"3981";"ENSMUSG00000022938"
"3982";"ENSMUSG00000022940"
"3983";"ENSMUSG00000022941"
"3984";"ENSMUSG00000022945"
"3985";"ENSMUSG00000022946"
"3986";"ENSMUSG00000022947"
"3987";"ENSMUSG00000022948"
"3988";"ENSMUSG00000022949"
"3989";"ENSMUSG00000022951"
"3990";"ENSMUSG00000022952"
"3991";"ENSMUSG00000022956"
"3992";"ENSMUSG00000022957"
"3993";"ENSMUSG00000022960"
"3994";"ENSMUSG00000022961"
"3995";"ENSMUSG00000022962"
"3996";"ENSMUSG00000022964"
"3997";"ENSMUSG00000022965"
"3998";"ENSMUSG00000022967"
"3999";"ENSMUSG00000022969"
"4000";"ENSMUSG00000022971"
"4001";"ENSMUSG00000022972"
"4002";"ENSMUSG00000022973"
"4003";"ENSMUSG00000022974"
"4004";"ENSMUSG00000022978"
"4005";"ENSMUSG00000022982"
"4006";"ENSMUSG00000022983"
"4007";"ENSMUSG00000022986"
"4008";"ENSMUSG00000022987"
"4009";"ENSMUSG00000022991"
"4010";"ENSMUSG00000022992"
"4011";"ENSMUSG00000022993"
"4012";"ENSMUSG00000022994"
"4013";"ENSMUSG00000022995"
"4014";"ENSMUSG00000022996"
"4015";"ENSMUSG00000022997"
"4016";"ENSMUSG00000022999"
"4017";"ENSMUSG00000023000"
"4018";"ENSMUSG00000023004"
"4019";"ENSMUSG00000023007"
"4020";"ENSMUSG00000023008"
"4021";"ENSMUSG00000023009"
"4022";"ENSMUSG00000023010"
"4023";"ENSMUSG00000023011"
"4024";"ENSMUSG00000023013"
"4025";"ENSMUSG00000023015"
"4026";"ENSMUSG00000023017"
"4027";"ENSMUSG00000023018"
"4028";"ENSMUSG00000023019"
"4029";"ENSMUSG00000023020"
"4030";"ENSMUSG00000023021"
"4031";"ENSMUSG00000023022"
"4032";"ENSMUSG00000023025"
"4033";"ENSMUSG00000023026"
"4034";"ENSMUSG00000023027"
"4035";"ENSMUSG00000023030"
"4036";"ENSMUSG00000023031"
"4037";"ENSMUSG00000023032"
"4038";"ENSMUSG00000023033"
"4039";"ENSMUSG00000023034"
"4040";"ENSMUSG00000023036"
"4041";"ENSMUSG00000023039"
"4042";"ENSMUSG00000023041"
"4043";"ENSMUSG00000023043"
"4044";"ENSMUSG00000023044"
"4045";"ENSMUSG00000023045"
"4046";"ENSMUSG00000023046"
"4047";"ENSMUSG00000023047"
"4048";"ENSMUSG00000023048"
"4049";"ENSMUSG00000023050"
"4050";"ENSMUSG00000023051"
"4051";"ENSMUSG00000023052"
"4052";"ENSMUSG00000023055"
"4053";"ENSMUSG00000023057"
"4054";"ENSMUSG00000023064"
"4055";"ENSMUSG00000023066"
"4056";"ENSMUSG00000023067"
"4057";"ENSMUSG00000023068"
"4058";"ENSMUSG00000023070"
"4059";"ENSMUSG00000023072"
"4060";"ENSMUSG00000023073"
"4061";"ENSMUSG00000023074"
"4062";"ENSMUSG00000023075"
"4063";"ENSMUSG00000023078"
"4064";"ENSMUSG00000023079"
"4065";"ENSMUSG00000023083"
"4066";"ENSMUSG00000023084"
"4067";"ENSMUSG00000023087"
"4068";"ENSMUSG00000023088"
"4069";"ENSMUSG00000023089"
"4070";"ENSMUSG00000023092"
"4071";"ENSMUSG00000023093"
"4072";"ENSMUSG00000023094"
"4073";"ENSMUSG00000023104"
"4074";"ENSMUSG00000023106"
"4075";"ENSMUSG00000023110"
"4076";"ENSMUSG00000023118"
"4077";"ENSMUSG00000023120"
"4078";"ENSMUSG00000023122"
"4079";"ENSMUSG00000023132"
"4080";"ENSMUSG00000023140"
"4081";"ENSMUSG00000023143"
"4082";"ENSMUSG00000023147"
"4083";"ENSMUSG00000023150"
"4084";"ENSMUSG00000023151"
"4085";"ENSMUSG00000023153"
"4086";"ENSMUSG00000023156"
"4087";"ENSMUSG00000023159"
"4088";"ENSMUSG00000023165"
"4089";"ENSMUSG00000023169"
"4090";"ENSMUSG00000023170"
"4091";"ENSMUSG00000023175"
"4092";"ENSMUSG00000023176"
"4093";"ENSMUSG00000023185"
"4094";"ENSMUSG00000023186"
"4095";"ENSMUSG00000023191"
"4096";"ENSMUSG00000023192"
"4097";"ENSMUSG00000023206"
"4098";"ENSMUSG00000023210"
"4099";"ENSMUSG00000023216"
"4100";"ENSMUSG00000023224"
"4101";"ENSMUSG00000023232"
"4102";"ENSMUSG00000023235"
"4103";"ENSMUSG00000023236"
"4104";"ENSMUSG00000023243"
"4105";"ENSMUSG00000023247"
"4106";"ENSMUSG00000023249"
"4107";"ENSMUSG00000023257"
"4108";"ENSMUSG00000023259"
"4109";"ENSMUSG00000023262"
"4110";"ENSMUSG00000023263"
"4111";"ENSMUSG00000023266"
"4112";"ENSMUSG00000023267"
"4113";"ENSMUSG00000023272"
"4114";"ENSMUSG00000023274"
"4115";"ENSMUSG00000023277"
"4116";"ENSMUSG00000023279"
"4117";"ENSMUSG00000023284"
"4118";"ENSMUSG00000023286"
"4119";"ENSMUSG00000023289"
"4120";"ENSMUSG00000023307"
"4121";"ENSMUSG00000023328"
"4122";"ENSMUSG00000023330"
"4123";"ENSMUSG00000023333"
"4124";"ENSMUSG00000023336"
"4125";"ENSMUSG00000023341"
"4126";"ENSMUSG00000023345"
"4127";"ENSMUSG00000023348"
"4128";"ENSMUSG00000023349"
"4129";"ENSMUSG00000023350"
"4130";"ENSMUSG00000023353"
"4131";"ENSMUSG00000023367"
"4132";"ENSMUSG00000023387"
"4133";"ENSMUSG00000023391"
"4134";"ENSMUSG00000023393"
"4135";"ENSMUSG00000023403"
"4136";"ENSMUSG00000023411"
"4137";"ENSMUSG00000023433"
"4138";"ENSMUSG00000023439"
"4139";"ENSMUSG00000023443"
"4140";"ENSMUSG00000023452"
"4141";"ENSMUSG00000023456"
"4142";"ENSMUSG00000023460"
"4143";"ENSMUSG00000023467"
"4144";"ENSMUSG00000023473"
"4145";"ENSMUSG00000023484"
"4146";"ENSMUSG00000023495"
"4147";"ENSMUSG00000023505"
"4148";"ENSMUSG00000023571"
"4149";"ENSMUSG00000023572"
"4150";"ENSMUSG00000023577"
"4151";"ENSMUSG00000023707"
"4152";"ENSMUSG00000023723"
"4153";"ENSMUSG00000023737"
"4154";"ENSMUSG00000023755"
"4155";"ENSMUSG00000023764"
"4156";"ENSMUSG00000023781"
"4157";"ENSMUSG00000023791"
"4158";"ENSMUSG00000023795"
"4159";"ENSMUSG00000023800"
"4160";"ENSMUSG00000023802"
"4161";"ENSMUSG00000023805"
"4162";"ENSMUSG00000023806"
"4163";"ENSMUSG00000023809"
"4164";"ENSMUSG00000023826"
"4165";"ENSMUSG00000023827"
"4166";"ENSMUSG00000023828"
"4167";"ENSMUSG00000023829"
"4168";"ENSMUSG00000023830"
"4169";"ENSMUSG00000023832"
"4170";"ENSMUSG00000023845"
"4171";"ENSMUSG00000023852"
"4172";"ENSMUSG00000023861"
"4173";"ENSMUSG00000023868"
"4174";"ENSMUSG00000023873"
"4175";"ENSMUSG00000023882"
"4176";"ENSMUSG00000023883"
"4177";"ENSMUSG00000023885"
"4178";"ENSMUSG00000023886"
"4179";"ENSMUSG00000023892"
"4180";"ENSMUSG00000023902"
"4181";"ENSMUSG00000023903"
"4182";"ENSMUSG00000023904"
"4183";"ENSMUSG00000023905"
"4184";"ENSMUSG00000023906"
"4185";"ENSMUSG00000023908"
"4186";"ENSMUSG00000023909"
"4187";"ENSMUSG00000023911"
"4188";"ENSMUSG00000023912"
"4189";"ENSMUSG00000023913"
"4190";"ENSMUSG00000023914"
"4191";"ENSMUSG00000023915"
"4192";"ENSMUSG00000023918"
"4193";"ENSMUSG00000023919"
"4194";"ENSMUSG00000023921"
"4195";"ENSMUSG00000023923"
"4196";"ENSMUSG00000023926"
"4197";"ENSMUSG00000023927"
"4198";"ENSMUSG00000023930"
"4199";"ENSMUSG00000023931"
"4200";"ENSMUSG00000023932"
"4201";"ENSMUSG00000023935"
"4202";"ENSMUSG00000023938"
"4203";"ENSMUSG00000023939"
"4204";"ENSMUSG00000023940"
"4205";"ENSMUSG00000023942"
"4206";"ENSMUSG00000023943"
"4207";"ENSMUSG00000023944"
"4208";"ENSMUSG00000023945"
"4209";"ENSMUSG00000023947"
"4210";"ENSMUSG00000023949"
"4211";"ENSMUSG00000023951"
"4212";"ENSMUSG00000023952"
"4213";"ENSMUSG00000023953"
"4214";"ENSMUSG00000023959"
"4215";"ENSMUSG00000023960"
"4216";"ENSMUSG00000023961"
"4217";"ENSMUSG00000023963"
"4218";"ENSMUSG00000023964"
"4219";"ENSMUSG00000023965"
"4220";"ENSMUSG00000023966"
"4221";"ENSMUSG00000023967"
"4222";"ENSMUSG00000023968"
"4223";"ENSMUSG00000023971"
"4224";"ENSMUSG00000023972"
"4225";"ENSMUSG00000023973"
"4226";"ENSMUSG00000023977"
"4227";"ENSMUSG00000023978"
"4228";"ENSMUSG00000023979"
"4229";"ENSMUSG00000023980"
"4230";"ENSMUSG00000023982"
"4231";"ENSMUSG00000023984"
"4232";"ENSMUSG00000023987"
"4233";"ENSMUSG00000023988"
"4234";"ENSMUSG00000023990"
"4235";"ENSMUSG00000023991"
"4236";"ENSMUSG00000023992"
"4237";"ENSMUSG00000023993"
"4238";"ENSMUSG00000023994"
"4239";"ENSMUSG00000023995"
"4240";"ENSMUSG00000023999"
"4241";"ENSMUSG00000024002"
"4242";"ENSMUSG00000024006"
"4243";"ENSMUSG00000024007"
"4244";"ENSMUSG00000024008"
"4245";"ENSMUSG00000024011"
"4246";"ENSMUSG00000024012"
"4247";"ENSMUSG00000024013"
"4248";"ENSMUSG00000024014"
"4249";"ENSMUSG00000024018"
"4250";"ENSMUSG00000024019"
"4251";"ENSMUSG00000024026"
"4252";"ENSMUSG00000024027"
"4253";"ENSMUSG00000024028"
"4254";"ENSMUSG00000024029"
"4255";"ENSMUSG00000024030"
"4256";"ENSMUSG00000024032"
"4257";"ENSMUSG00000024033"
"4258";"ENSMUSG00000024034"
"4259";"ENSMUSG00000024036"
"4260";"ENSMUSG00000024037"
"4261";"ENSMUSG00000024038"
"4262";"ENSMUSG00000024039"
"4263";"ENSMUSG00000024041"
"4264";"ENSMUSG00000024042"
"4265";"ENSMUSG00000024043"
"4266";"ENSMUSG00000024044"
"4267";"ENSMUSG00000024045"
"4268";"ENSMUSG00000024048"
"4269";"ENSMUSG00000024049"
"4270";"ENSMUSG00000024050"
"4271";"ENSMUSG00000024052"
"4272";"ENSMUSG00000024053"
"4273";"ENSMUSG00000024054"
"4274";"ENSMUSG00000024055"
"4275";"ENSMUSG00000024056"
"4276";"ENSMUSG00000024059"
"4277";"ENSMUSG00000024063"
