"";"x"
"188";"ENSMUSG00000001076"
"189";"ENSMUSG00000001082"
"190";"ENSMUSG00000001089"
"191";"ENSMUSG00000001095"
"192";"ENSMUSG00000001098"
"193";"ENSMUSG00000001100"
"194";"ENSMUSG00000001103"
"195";"ENSMUSG00000001105"
"196";"ENSMUSG00000001119"
"197";"ENSMUSG00000001120"
"198";"ENSMUSG00000001123"
"199";"ENSMUSG00000001127"
"200";"ENSMUSG00000001128"
"201";"ENSMUSG00000001131"
"202";"ENSMUSG00000001134"
"203";"ENSMUSG00000001138"
"204";"ENSMUSG00000001143"
"205";"ENSMUSG00000001150"
"206";"ENSMUSG00000001151"
"207";"ENSMUSG00000001155"
"208";"ENSMUSG00000001156"
"209";"ENSMUSG00000001157"
"210";"ENSMUSG00000001158"
"211";"ENSMUSG00000001166"
"212";"ENSMUSG00000001168"
"213";"ENSMUSG00000001173"
"214";"ENSMUSG00000001175"
"215";"ENSMUSG00000001211"
"216";"ENSMUSG00000001225"
"217";"ENSMUSG00000001227"
"218";"ENSMUSG00000001228"
"219";"ENSMUSG00000001229"
"220";"ENSMUSG00000001240"
"221";"ENSMUSG00000001247"
"222";"ENSMUSG00000001248"
"223";"ENSMUSG00000001249"
"224";"ENSMUSG00000001260"
"225";"ENSMUSG00000001270"
"226";"ENSMUSG00000001280"
"227";"ENSMUSG00000001281"
"228";"ENSMUSG00000001285"
"229";"ENSMUSG00000001288"
"230";"ENSMUSG00000001289"
"231";"ENSMUSG00000001300"
"232";"ENSMUSG00000001305"
"233";"ENSMUSG00000001313"
"234";"ENSMUSG00000001323"
"235";"ENSMUSG00000001333"
"236";"ENSMUSG00000001334"
"237";"ENSMUSG00000001348"
"238";"ENSMUSG00000001349"
"239";"ENSMUSG00000001366"
"240";"ENSMUSG00000001376"
"241";"ENSMUSG00000001380"
"242";"ENSMUSG00000001383"
"243";"ENSMUSG00000001403"
"244";"ENSMUSG00000001415"
"245";"ENSMUSG00000001416"
"246";"ENSMUSG00000001417"
"247";"ENSMUSG00000001418"
"248";"ENSMUSG00000001419"
"249";"ENSMUSG00000001420"
"250";"ENSMUSG00000001424"
"251";"ENSMUSG00000001435"
"252";"ENSMUSG00000001436"
"253";"ENSMUSG00000001440"
"254";"ENSMUSG00000001441"
"255";"ENSMUSG00000001444"
"256";"ENSMUSG00000001445"
"257";"ENSMUSG00000001467"
"258";"ENSMUSG00000001472"
"259";"ENSMUSG00000001473"
"260";"ENSMUSG00000001482"
"261";"ENSMUSG00000001493"
"262";"ENSMUSG00000001494"
"263";"ENSMUSG00000001496"
"264";"ENSMUSG00000001497"
"265";"ENSMUSG00000001504"
"266";"ENSMUSG00000001506"
"267";"ENSMUSG00000001507"
"268";"ENSMUSG00000001508"
"269";"ENSMUSG00000001510"
"270";"ENSMUSG00000001517"
"271";"ENSMUSG00000001518"
"272";"ENSMUSG00000001520"
"273";"ENSMUSG00000001521"
"274";"ENSMUSG00000001524"
"275";"ENSMUSG00000001525"
"276";"ENSMUSG00000001542"
"277";"ENSMUSG00000001552"
"278";"ENSMUSG00000001555"
"279";"ENSMUSG00000001558"
"280";"ENSMUSG00000001566"
"281";"ENSMUSG00000001569"
"282";"ENSMUSG00000001576"
"283";"ENSMUSG00000001583"
"284";"ENSMUSG00000001588"
"285";"ENSMUSG00000001604"
"286";"ENSMUSG00000001622"
"287";"ENSMUSG00000001627"
"288";"ENSMUSG00000001630"
"289";"ENSMUSG00000001632"
"290";"ENSMUSG00000001642"
"291";"ENSMUSG00000001655"
"292";"ENSMUSG00000001656"
"293";"ENSMUSG00000001657"
"294";"ENSMUSG00000001661"
"295";"ENSMUSG00000001663"
"296";"ENSMUSG00000001665"
"297";"ENSMUSG00000001666"
"298";"ENSMUSG00000001670"
"299";"ENSMUSG00000001672"
"300";"ENSMUSG00000001674"
"301";"ENSMUSG00000001687"
"302";"ENSMUSG00000001700"
"303";"ENSMUSG00000001707"
"304";"ENSMUSG00000001729"
"305";"ENSMUSG00000001739"
"306";"ENSMUSG00000001741"
"307";"ENSMUSG00000001750"
"308";"ENSMUSG00000001751"
"309";"ENSMUSG00000001755"
"310";"ENSMUSG00000001761"
"311";"ENSMUSG00000001763"
"312";"ENSMUSG00000001767"
"313";"ENSMUSG00000001768"
"314";"ENSMUSG00000001773"
"315";"ENSMUSG00000001774"
"316";"ENSMUSG00000001783"
"317";"ENSMUSG00000001785"
"318";"ENSMUSG00000001786"
"319";"ENSMUSG00000001794"
"320";"ENSMUSG00000001802"
"321";"ENSMUSG00000001804"
"322";"ENSMUSG00000001815"
"323";"ENSMUSG00000001819"
"324";"ENSMUSG00000001823"
"325";"ENSMUSG00000001827"
"326";"ENSMUSG00000001829"
"327";"ENSMUSG00000001833"
"328";"ENSMUSG00000001844"
"329";"ENSMUSG00000001847"
"330";"ENSMUSG00000001855"
"331";"ENSMUSG00000001864"
"332";"ENSMUSG00000001865"
"333";"ENSMUSG00000001870"
"334";"ENSMUSG00000001891"
